n_estimators,max_depth,min_samples_split,min_samples_leaf,rmse,mae,mape
120,8,3,2,0.6990950597950482,0.5097656859435452,0.07952035210401909
120,8,3,3,0.6895184039203022,0.49991506954384674,0.07771353618120282
120,8,3,4,0.7076792096862223,0.5049411521331177,0.07807772140188587
120,8,4,2,0.6990950597950482,0.5097656859435452,0.07952035210401909
120,8,4,3,0.6895184039203022,0.49991506954384674,0.07771353618120282
120,8,4,4,0.7076792096862223,0.5049411521331177,0.07807772140188587
120,9,2,2,0.6969207118290387,0.5015337952858677,0.07827452641823879
120,9,2,3,0.6832846376188484,0.49080246480081496,0.07639534870032072
120,9,2,4,0.702300862336366,0.4968359537425836,0.07697457347944245
120,9,3,2,0.6969207118290387,0.5015337952858676,0.07827452641823877
120,9,3,3,0.6832846376188484,0.4908024648008149,0.07639534870032073
120,9,3,4,0.702300862336366,0.4968359537425835,0.07697457347944245
120,9,4,2,0.6969207118290387,0.5015337952858676,0.07827452641823879
120,9,4,3,0.6832846376188483,0.4908024648008149,0.0763953487003207
120,9,4,4,0.702300862336366,0.4968359537425836,0.07697457347944245
120,10,2,2,0.6927463569143496,0.49655816629405636,0.07760861500698606
120,10,2,3,0.6812035640777553,0.4858795808675049,0.0757185123367484
120,10,2,4,0.7002965993068964,0.49218484562908854,0.07626274967543481
120,10,3,2,0.6927463569143496,0.49655816629405636,0.07760861500698606
120,10,3,3,0.6812035640777554,0.4858795808675049,0.0757185123367484
120,10,3,4,0.7002965993068964,0.49218484562908854,0.07626274967543482
120,10,4,2,0.6927463569143496,0.49655816629405636,0.07760861500698606
120,10,4,3,0.6812035640777552,0.4858795808675049,0.07571851233674841
120,10,4,4,0.7002965993068964,0.49218484562908854,0.07626274967543482
120,11,2,2,0.6899365461990982,0.49093155661630206,0.0766789932527667
120,11,2,3,0.6777412759767059,0.48138297665090973,0.07500759692522314
120,11,2,4,0.697455159473952,0.48773915790916117,0.07556735328914281
120,11,3,2,0.6899365461990982,0.4909315566163021,0.0766789932527667
120,11,3,3,0.6777412759767057,0.4813829766509096,0.07500759692522313
120,11,3,4,0.697455159473952,0.48773915790916117,0.07556735328914281
120,11,4,2,0.6899365461990982,0.4909315566163021,0.0766789932527667
120,11,4,3,0.6777412759767057,0.4813829766509095,0.07500759692522312
120,11,4,4,0.6974551594739521,0.48773915790916117,0.07556735328914282
120,12,2,2,0.6884757807332597,0.48949795287326164,0.07654372760821036
120,12,2,3,0.6791159102783935,0.48113937395001444,0.07504412951169923
120,12,2,4,0.6969594748727828,0.4863419106360197,0.07536849340062823
120,12,3,2,0.6884757807332597,0.48949795287326164,0.07654372760821036
120,12,3,3,0.6791159102783935,0.4811393739500145,0.07504412951169923
120,12,3,4,0.6969594748727828,0.4863419106360197,0.07536849340062823
120,12,4,2,0.6884757807332597,0.48949795287326164,0.07654372760821036
120,12,4,3,0.6791159102783936,0.4811393739500143,0.07504412951169923
120,12,4,4,0.6969594748727828,0.4863419106360197,0.07536849340062823
120,13,2,2,0.6907715159193761,0.48919350231082204,0.07650094823610672
120,13,2,3,0.6777838856127442,0.47997940142787027,0.07485663766940281
120,13,2,4,0.6967787033341263,0.48617652804722383,0.07540133751283767
120,13,3,2,0.6907715159193761,0.48919350231082204,0.07650094823610672
120,13,3,3,0.677783885612744,0.4799794014278704,0.07485663766940281
120,13,3,4,0.6967787033341263,0.48617652804722383,0.07540133751283766
120,13,4,2,0.6907715159193762,0.48919350231082204,0.07650094823610672
120,13,4,3,0.677783885612744,0.47997940142787027,0.07485663766940281
120,13,4,4,0.6967787033341263,0.4861765280472238,0.07540133751283766
120,14,2,2,0.6948176168994459,0.4918969519098988,0.07703054092667683
120,14,2,3,0.6775444999728261,0.47964019417405834,0.07485696432168414
120,14,2,4,0.6972541343441436,0.4860585798199069,0.07539352070410218
120,14,3,2,0.6948176168994459,0.49189695190989874,0.07703054092667683
120,14,3,3,0.6775444999728261,0.47964019417405834,0.07485696432168414
120,14,3,4,0.6972541343441437,0.486058579819907,0.0753935207041022
120,14,4,2,0.6948176168994459,0.49189695190989874,0.07703054092667683
120,14,4,3,0.6775444999728261,0.47964019417405834,0.07485696432168414
120,14,4,4,0.6972541343441437,0.4860585798199069,0.0753935207041022
120,15,2,2,0.6964272944569849,0.4924551192722194,0.0770543552862946
120,15,2,3,0.6775300829297464,0.4799134719785278,0.07489770118672855
120,15,2,4,0.6967119467664741,0.4856873945147932,0.07530578784186233
120,15,3,2,0.6964272944569849,0.4924551192722194,0.0770543552862946
120,15,3,3,0.6775300829297464,0.4799134719785278,0.07489770118672855
120,15,3,4,0.6967119467664741,0.4856873945147932,0.07530578784186233
120,15,4,2,0.6964272944569849,0.4924551192722194,0.0770543552862946
120,15,4,3,0.6775300829297465,0.4799134719785278,0.07489770118672855
120,15,4,4,0.6967119467664741,0.4856873945147932,0.07530578784186234
120,16,2,2,0.6978567169775717,0.4933124762003325,0.07721293715673587
120,16,2,3,0.6794398449334134,0.48074986273014725,0.07502583774634951
120,16,2,4,0.6964779239788339,0.48523969523709565,0.07524389207084421
120,16,3,2,0.6978567169775716,0.4933124762003325,0.07721293715673587
120,16,3,3,0.6794398449334134,0.48074986273014725,0.07502583774634951
